<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20190517,000000,226.9800000,228.2400000,226.0000000,226.9400000,28412300
SBER,D,20190520,000000,228.1000000,229.1800000,225.1000000,226.0000000,30088250
SBER,D,20190521,000000,227.0200000,232.7100000,226.0400000,232.7100000,59067410
SBER,D,20190522,000000,233.1300000,237.4000000,230.8000000,235.8600000,59371310
SBER,D,20190523,000000,234.4800000,235.3700000,228.5700000,229.3000000,51293570
SBER,D,20190524,000000,231.2100000,236.4500000,231.2000000,234.4500000,65680760
SBER,D,20190527,000000,235.2700000,237.0000000,233.8300000,236.0000000,27752790
SBER,D,20190528,000000,236.4000000,237.4700000,230.6000000,233.1900000,74031020
SBER,D,20190529,000000,232.1900000,234.3000000,230.2500000,233.4000000,51364080
SBER,D,20190530,000000,234.5600000,235.2100000,231.9100000,232.7500000,36306660
SBER,D,20190531,000000,230.5600000,234.1000000,229.2100000,233.2400000,53296760
SBER,D,20190603,000000,231.1800000,241.5000000,230.3500000,239.9500000,84406830
SBER,D,20190604,000000,239.8500000,240.2500000,234.8000000,236.0000000,69935260
SBER,D,20190605,000000,236.1200000,240.3000000,235.1100000,239.0000000,52756470
SBER,D,20190606,000000,238.8700000,246.3400000,238.5300000,244.8900000,61323390
SBER,D,20190607,000000,246.3800000,249.0000000,246.0600000,248.2800000,68267530
SBER,D,20190610,000000,249.5800000,250.6500000,245.2000000,249.0000000,62543690
SBER,D,20190611,000000,235.5000000,239.0000000,235.1100000,235.8900000,67252510
SBER,D,20190613,000000,236.5000000,241.0700000,232.5500000,240.4900000,75143890
SBER,D,20190614,000000,240.6000000,243.8000000,237.1000000,238.8000000,50167230
SBER,D,20190617,000000,238.9100000,240.8700000,237.5000000,237.8000000,33592970
SBER,D,20190618,000000,237.2500000,241.9900000,236.3600000,241.8000000,48909090
SBER,D,20190619,000000,242.5000000,242.9500000,238.7000000,240.4000000,33760330
SBER,D,20190620,000000,241.9800000,244.9900000,241.4000000,244.1000000,64284450
SBER,D,20190621,000000,243.0100000,243.9000000,237.5600000,238.0200000,60981900
SBER,D,20190624,000000,239.0100000,240.7500000,238.4200000,239.0900000,27673280
SBER,D,20190625,000000,238.9500000,239.2000000,234.2000000,236.7000000,38507450
SBER,D,20190626,000000,236.8000000,241.3700000,235.8100000,240.5900000,39691210
SBER,D,20190627,000000,240.4200000,242.4400000,238.3000000,240.5000000,48108550
SBER,D,20190628,000000,240.1200000,241.2300000,237.8700000,238.5500000,33373530
SBER,D,20190701,000000,240.9800000,243.9000000,240.2100000,242.9800000,50562960
SBER,D,20190702,000000,242.5200000,242.7400000,239.7000000,241.2000000,28531390
SBER,D,20190703,000000,241.0000000,243.7000000,240.1700000,241.5100000,32693350
SBER,D,20190704,000000,241.9700000,243.0000000,240.8100000,242.8200000,25303020
SBER,D,20190705,000000,242.9500000,243.5000000,241.6100000,242.8300000,27841230
SBER,D,20190708,000000,242.2200000,243.3000000,240.6800000,243.3000000,28458070
SBER,D,20190709,000000,242.9500000,243.7000000,241.8700000,242.7400000,26334670
SBER,D,20190710,000000,243.1100000,245.5000000,242.0100000,243.7600000,41586230
SBER,D,20190711,000000,244.5200000,244.9700000,240.1700000,241.3000000,33101970
SBER,D,20190712,000000,241.2900000,241.5000000,236.3700000,237.0200000,47658170
SBER,D,20190715,000000,237.9000000,238.5900000,234.2300000,235.2700000,44987070
SBER,D,20190716,000000,234.6500000,235.3000000,232.2500000,234.7500000,36144200
SBER,D,20190717,000000,234.3200000,238.0400000,233.5000000,234.6300000,33512230
SBER,D,20190718,000000,233.8100000,236.4000000,233.5000000,234.7800000,22818540
SBER,D,20190719,000000,236.3500000,237.9300000,232.3200000,232.8500000,34586080
SBER,D,20190722,000000,232.9300000,233.9800000,228.5700000,230.3500000,37930900
SBER,D,20190723,000000,230.5000000,232.8300000,228.5200000,232.4800000,36306690
SBER,D,20190724,000000,233.7200000,234.0000000,229.9000000,230.6500000,27236550
SBER,D,20190725,000000,229.9900000,234.6500000,229.0200000,232.9000000,33004560
SBER,D,20190726,000000,232.5000000,233.9900000,230.2500000,230.5500000,25904020
SBER,D,20190729,000000,230.7000000,233.7400000,230.1800000,232.8000000,18366190
SBER,D,20190730,000000,233.1400000,236.0000000,231.1300000,236.0000000,34773990
SBER,D,20190731,000000,237.5100000,237.5500000,233.1100000,233.4900000,50356650
SBER,D,20190801,000000,232.1500000,232.4600000,228.5000000,229.5000000,56032690
SBER,D,20190802,000000,224.9100000,226.8800000,220.3000000,220.8100000,94010550
SBER,D,20190805,000000,219.7800000,224.0000000,219.4500000,222.2400000,49041610
SBER,D,20190806,000000,222.7700000,226.8800000,222.3000000,226.0100000,48720730
SBER,D,20190807,000000,225.8900000,227.6000000,221.9000000,222.2500000,49530250
SBER,D,20190808,000000,224.6000000,225.9000000,223.1800000,223.9300000,31144010
SBER,D,20190809,000000,224.0600000,224.3600000,220.6700000,220.6700000,31478890
SBER,D,20190812,000000,222.3800000,222.9900000,219.7400000,222.3000000,28695760
SBER,D,20190813,000000,221.3100000,225.7500000,220.0700000,223.1800000,46706040
SBER,D,20190814,000000,224.1000000,224.2500000,216.6000000,217.1100000,52004130
SBER,D,20190815,000000,218.5000000,218.9400000,212.8800000,214.5900000,68165210
SBER,D,20190816,000000,215.8000000,216.7500000,213.9100000,215.0500000,38353770
SBER,D,20190819,000000,217.0400000,218.2000000,214.0600000,217.4000000,37521900
SBER,D,20190820,000000,217.6300000,219.2300000,215.5300000,216.0000000,36984710
SBER,D,20190821,000000,216.9600000,219.5000000,215.8000000,218.6200000,42898300
SBER,D,20190822,000000,218.2500000,220.4000000,217.3500000,219.5000000,45670450
SBER,D,20190823,000000,220.2100000,223.1000000,217.8600000,219.5000000,54739920
SBER,D,20190826,000000,217.5400000,219.6400000,216.5300000,218.5000000,34995860
SBER,D,20190827,000000,218.8800000,219.0500000,215.6100000,217.8900000,51323830
SBER,D,20190828,000000,218.0800000,219.0800000,217.1800000,218.3000000,30139230
SBER,D,20190829,000000,218.4700000,221.5000000,218.0500000,221.5000000,35886460
SBER,D,20190830,000000,221.9100000,225.2000000,221.2100000,224.2000000,58155090
SBER,D,20190902,000000,224.0500000,227.8400000,223.4100000,226.6800000,38911370
SBER,D,20190903,000000,225.9400000,226.2500000,222.0500000,224.0000000,44465820
SBER,D,20190904,000000,225.3000000,227.5000000,224.6900000,227.1000000,41551160
SBER,D,20190905,000000,229.5100000,230.9300000,228.3600000,230.7900000,54585230
SBER,D,20190906,000000,231.0000000,231.2000000,228.3600000,229.0200000,37869960
SBER,D,20190909,000000,229.8800000,230.8700000,227.6100000,229.0000000,22721370
SBER,D,20190910,000000,228.6000000,235.2300000,227.1000000,233.3000000,60365220
SBER,D,20190911,000000,233.5000000,235.9000000,232.6200000,234.7200000,41834400
SBER,D,20190912,000000,234.9000000,235.4200000,232.8100000,234.5700000,38921290
SBER,D,20190913,000000,234.1700000,235.0000000,231.9100000,233.0000000,23097450
SBER,D,20190916,000000,234.9800000,235.5300000,233.2000000,235.3200000,39411110
